state,name,ein,phone,email,website,Contact Name,address,Ruling Date,raw_source
PA,Athletic Club of Fairhill Inc.,,(267) 908-9166,acfairhill@gmail.com,www.acfairhilll.com,,"1205 E. Columbia Ave., Philadelphia, PA  19125",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Bryn Athyn Church of the New Jerusalem,,(215) 544-1407,Fauve.Nash@brynathynchurch.org,www.brynathynchurch.org,,"600 Tomlinson Rd., PO Box 277, Bryn Athyn, PA  19009",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Buckingham Friends School,,(215) 794-7496,sfrenkel@bfs.org,www.bfs.org,,"5684 York Road, Lahaska, PA  18931",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Calvary Christian Academy,,(215) 969-1579,Mpennisi@ccphilly.org,www.cca.ccphilly.org,,"13500 Philmont Avenue, Philadelphia, PA  19116",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Camphill Special School Inc.,,(610) 469-9236,cripple@camphillschool.org,www.camphillschool.org/,,"1784 Fairview Road, Glenmoore, PA  19343",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Chabad Jewish Scholarship Foundation,,(215) 591-9310,devorah@jewishmc.com,,,"1311 Fort Washington Ave., Fort Washington, PA  19034",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Community Foundation of Fayette County,,(724) 437-8600,cvalentine@cffayettepa.org,www.cffayettepa.org,,"250 West Main Street, Uniontown, PA  15401",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Community Foundation of Greene County,,(724) 627-2010,dave.cfgcpa@gmail.com,www.cfgcpa.org,,"108 East High Street, P.O. Box 768, Waynesburg, PA  15370",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Comprehensive Learning Center Inc.,,(215) 956-3861,kmartin@clcschoolprograms.org,www.clcschoolprograms.org,,"444 Jacksonville Rd., Warminster, PA  18974",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Crispus Attucks Association Inc.,,(717) 848-3612,dwilliams@crispusattucks.org,www.crispusattucks.org,,"605 S. Duke Street, York, PA  17401",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,dePaul School in Northeastern Pennsylvania,,(570) 534-4736,cgilroy@friendshiphousepa.org,www.depaulschoolnepa.org,,"415 Biden Street, Scranton, PA  18505",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Discovery MI Preschool d/b/a Discovery Montessori,,(570) 702-7909,mydiscoverypreschool@gmail.com,www.discoverypa.org,,"1733 N. Main Ave, Scranton, PA  18508",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Extra Mile Education Foundation Inc.,,(412) 716-8637,avescio@extramilefdn.org,www.extramilefdn.org,,"603 Stanwix St., Suite 348, Pittsburgh, PA  15222",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,First Regular Baptist Church of Northumberland,,(570) 473-9786,jdrees@norrychristian.net,www.norrychristian.net,,"Northumberland Christian School, 351 Fifth Street, Northumberland, PA  17857",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,First Tee Greater Philadelphia,,(215) 680-5750,jmcaleese@firstteephila.org,www.firstteephiladelphia.org,,"800 Walnut Lane, Philadelphia, PA  19128",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Fund for Girard College,,(215) 787-4436,resposito@girardcollege.edu,www.girardcollege.edu/support/fund/,,"2101 S. College Avenue, Philadelphia, PA  19121",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,George Junior Republic,,(724) 458-9330,tduong@gjr.org,www.GJR.org,,"233 George Junior Road, Grove City, PA  16127",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Goals and Assists Foundation,,(215) 952-5271,sharan@sniderhockey.org,www.sniderhockey.org,,"3601 S. Broad Street, Philadelphia, PA  19148",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Heritage Community Initiatives,,(412) 351-0535,lkelley@heritageserves.org,www.heritageserves.org,,"820 Braddock Avenue, Braddock, PA  15104",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,High Point Classical Academy,,(570) 592-4203,bakolodgie@highpointclassicalacademy.com,highpointclassicalacademy.com,,"1919 Mountain Road, Larksville, PA  18651",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Hill School,,(610) 705-1199,kkoller@thehill.org,www.thehill.org,,"860 Beech Street, Pottstown, PA  19484",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,HMS School for Children with Cerebral Palsy,,(215) 222-2566,Cpimentel@HMSSchool.org,www.hmsschool.org,,"4400 Baltimore Avenue, Philadelphia, PA  19104",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,House of Hope York PA,,(717) 235-3198,lori.ziegler@houseofhopeyork.org,www.houseof hopeyork.org,,"23 N. Pleasant Avenue, Jacobus, PA  17407",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,IFA Foundation,,(484) 919-0282,john@ifa.llc,,,"7157 Camp Hill Rd., Fort Washington, PA  19034",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Independence Mission Schools,,(215) 771-7038,bfoley@imsphila.org,https://imsphila.org/,,"1012 W. Thompson Street, Philadelphia, PA  19122",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Jewish Community Alliance of Northeastern Pennsylvania,,(570) 574-1136,jgillespie@nepajca.org.,www.jewishwilkes-barre.org,,"613 S.J. Strauss Lane, Kingston, PA  18704",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Joey F. Casey Memorial Foundation,,(215) 512-2685,tcrosset@outlook.com,www.joeycasey.com,,"8121 Cresco Avenue, Philadelphia, PA  19136",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Kimberton Waldorf School,,(610) 933-3635,development@kimberton.org,www.kimberton.org,,"410 West Seven Stars Road, Phoenixville, PA  19460",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Kiskiminetas Springs School,,(724) 639-8047,vickie.fluharty@kiski.org,www.kiski.org,,"1888 Brett Lane, Saltsburg, PA  15681",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Lancaster County Career & Technology Foundation,,(717) 653-3009,jbaker@lancasterctc.edu,www.lcctf.org,,"432 Old Market Street, Mt. Joy, PA  17552",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Linden Hall School for Girls,,(717) 626-8512,business@lindenhall.org,www.lindenhall.org,,"212 E. Main Street, Lititz, PA  17543",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Logos Academy (Harrisburg),,(717) 727-5154,lauren.bonnema@logoshbg.org,www.logosHBG.org,,"251 Verbeke Street, Harrisburg, PA  17102",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Logos Academy Scholarship Organization,,(717) 848-9835,lisa.knier@logosyork.org,www.logosyork.org,,"250 West King Street, York, PA  17401",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Meadowbrook Christian School Scholarship Organization K-12,,(570) 742-2638,sheri.hoffman@mcslions.org,www.mcslions.org,,"Wesleyan Church Corporation, 363 Stamm Road, Milton, PA  17847",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Mercersburg Academy,,(717) 328-6359,batsonm@mercersburg.edu,www.mercersburg.edu,,"100 Academy Drive, Mercersburg, PA  17236",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Montessori Academy of Lancaster,,(717) 560-0815,carol@montlanc.com,www.montlanc.com,,"2750 Weaver Road, Lancaster, PA  17601",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Montgomery County Scholarships Inc.,,(215) 253-8511,jed.silversmith@pataxcredits.org,www.pataxcredits.org/,,"101 Greenwood Avenue, Suite 380, Jenkintown, PA  19046",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Our Promise Inc.,,(267) 825-3188,sherman.washi@gmail.com,,,"1205 E. Columbia Ave., Philadelphia, PA  19125",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Pen Ryn School,,(215) 547-1800,billodcpa@aol.com,www.penryn.org,,"235 South Olds Boulevard, Fairless Hills, PA  19030",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Penn-Mont Academy,,(814) 696-8801,kathleen.dombrosky@pennmontacademy.com,www.pennmontacademy.com,,"131 Holliday Hills Drive, Hollidaysburg, PA  16648",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Perkiomen School,,(267) 717-5548,sfarrand@perkiomen.org,www.perkiomen.org,,"200 Seminary Street, Pennsburg, PA  18073",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Phase 4 Learning Center Inc.,,(215) 650-9004,eraphael@phase4lc.org,www.phase4learningcenter.org,,"5850 Centre Avenue, Pittsburgh, PA  15206",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Philadelphia School of Democracy Inc.,,(215) 218-9586,mark@phillyfreeschool.org,www.phillyfreeschool.org,,"4950 Springfield Ave., Philadelphia, PA  19143",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Solebury School,,(215) 862-5261,mmarshall@solebury.org,www.solebury.org,,"6832 Phillips Mill Road, New Hope, PA  18938",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,St. Stephen's Episcopal School,,(717) 238-8590,dshaffer@sseschool.org,www.sseschool.org,,"215 N. Front Street, Harrisburg, PA  17101",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,State College Friends School,,(814) 237-8386,jlove@scfriends.org,www.scfriends.org,,"1900 University Drive, State College, PA  16801",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Susquehanna Waldorf School,,(717) 649-1344,deborah.duke@susquehanna.org,www.susquehannawaldorf.org,,"15 West Walnut St., Marietta, PA  17547",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Talk Institute and School a/k/a Talk Inc.,,(610) 356-5566,kristen.tabun@talkinc.org,www.talkinc.org,,"6 Campus Blvd., Newtown Square, PA  19073",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The Concept School,,(610) 399-1135,slevine@theconceptschool.org,www.theconceptschool.org,,"1120 E. Street Rd., Westtown, PA  19395",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The School in Rose Valley,,(610) 566-1088,nava@theschoolinrosevalley.org,www.theschoolinrosevalley.org,,"20 School Lane, Rose Valley, PA  19063",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The Vista School,,(717) 583-5102,communications@vistaautismservices.org,www.thevistaschool.org,,"1021 Springboard Drive, Hershey, PA  17033",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Tom Johnson Boys Academy d/b/a Mon Valley Boys Academy,,(412) 599-1458,sheila.rawlings@mytjba.org,mytjba.org,,"653 S. Agnes Lane, West Mifflin, PA  15122",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Trinity Lutheran Church & School,,(570) 724-7723,bkohler@trinitylutheranwellsboro.org,www.trinitylutheranwellsboro.org,,"53 West Avenue, Wellsboro, PA  16901",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,United Disabilities Services,,(717) 715-8770,elizabethb@udservices.org,www.udservices.org/school,,"2270 Erin Court, Lancaster, PA  17601",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Valley School of Ligonier,,(724) 238-5028,development@valleyschoolofligonier.org,www.valleyschoolofligonier.org,,"P.O. Box 616, Ligonier, PA  15658",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Villa Joseph Marie High School,,(215) 357-8810,lharkrader@vjmhs.org,www.vjmhs.org,,"1180 Holland Road, Holland, PA  18966",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Villa Maria Academy Lower School,,(610) 644-4864,pscanlon@villamaria.org,www.villamaria.org,,"280 IHM Drive, Malvern, PA  19355",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Water Street Ministries,,(717) 358-2084,mwilcox@wsm.org,www.wsm.org,,"P.O. Box 7267, Lancaster, PA  17604",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Watson Institute,,(412) 749-2885,karam@thewatsoninstitute.org,www.thewatsoninstitute.org,,"301 Camp Meeting Road, Sewickley, PA  15143",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Western Pennsylvania Montessori School,,(412) 487-2700,director@wpms.edu,www.wpms.edu,,"2379 Wyland Ave., Allison Park, PA  15101",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Westtown School,,(610) 399-7922,courtnay.tyus@westtown.edu,www.westtown.edu,,"975 Westtown Road, West Chester, PA  19382",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Wyoming Valley Children's Association,,(570) 714-1246,nzanon@wvcakids.org,www.wvcakids.org,,"1133 Wyoming Avenue, Forty Fort, PA  18704",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Wyoming Valley Montessori Association Inc.,,(570) 288-3708,cdecker@wvms.org,www.wvms.org,,"d/b/a Wyoming Valley Montessori School, 851 West Market Street, Kingston, PA  18704",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Yeshiva Academy of Harrisburg Foundation,,(717) 574-9121,martinlowy@comcast.net,www.silveracademypa.org,,"d/b/a Silver Academy Foundation, 4218 Prosperous Drive, Harrisburg, PA  17112",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,York College of Pennsylvania,,(717) 815-6711,dkey1@ycds.org,www.ycds.org,,"441 Country Club Road, York, PA  17403",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,YSC Academy,,(610) 722-0500,gokupniarek@strikerpartners.com,www.yscacademy.com,,"2501 Seaport Drive, Union Power Plant, River Front Suite No. 100, Chester, PA  19013",,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
VA,Autism Envisioned Foundation,,(703) 828-5614,,www.autismenvisioned.com,,"Vienna, VA 22180",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Rise Academy,,(804) 236-4964,,https://www.riserichmond.org,,"Richmond, VA  23223",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Hargrave Foundation,,(434) 432-2583,,,,"Chatham, VA  24531",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Commonwealth Opportunity Scholars,,(571) 212-0058,,,,"Alexandria, VA 22315",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,The Hunter School Foundation,,(804) 708-0048,,www.hunterclassicalchristian.org,,"Henrico, VA 23229",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Torah Education Scholarship Foundation,,(804) 433-1512,,,,"Glen Allen, VA 23059",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,UP RVA,,(804) 390-3151,,www.uprva.com,,"Richmond, VA 23223",,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
