state,name,ein,address,phone,email,website,raw_source
PA,Buckingham Friends School,,"5684 York Road, Lahaska, PA  18931",(215) 794-7496,sfrenkel@bfs.org,www.bfs.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Calvary Christian Academy,,"13500 Philmont Avenue, Philadelphia, PA  19116",(215) 969-1579,Mpennisi@ccphilly.org,www.cca.ccphilly.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Camphill Special School Inc.,,"1784 Fairview Road, Glenmoore, PA  19343",(610) 469-9236,cripple@camphillschool.org,www.camphillschool.org/,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Chabad Jewish Scholarship Foundation,,"1311 Fort Washington Ave., Fort Washington, PA  19034",(215) 591-9310,devorah@jewishmc.com,,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Community Foundation of Fayette County,,"250 West Main Street, Uniontown, PA  15401",(724) 437-8600,cvalentine@cffayettepa.org,www.cffayettepa.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Community Foundation of Greene County,,"108 East High Street, P.O. Box 768, Waynesburg, PA  15370",(724) 627-2010,dave.cfgcpa@gmail.com,www.cfgcpa.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Comprehensive Learning Center Inc.,,"444 Jacksonville Rd., Warminster, PA  18974",(215) 956-3861,kmartin@clcschoolprograms.org,www.clcschoolprograms.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Crispus Attucks Association Inc.,,"605 S. Duke Street, York, PA  17401",(717) 848-3612,dwilliams@crispusattucks.org,www.crispusattucks.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,dePaul School in Northeastern Pennsylvania,,"415 Biden Street, Scranton, PA  18505",(570) 534-4736,cgilroy@friendshiphousepa.org,www.depaulschoolnepa.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Discovery MI Preschool d/b/a Discovery Montessori,,"1733 N. Main Ave, Scranton, PA  18508",(570) 702-7909,mydiscoverypreschool@gmail.com,www.discoverypa.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Extra Mile Education Foundation Inc.,,"603 Stanwix St., Suite 348, Pittsburgh, PA  15222",(412) 716-8637,avescio@extramilefdn.org,www.extramilefdn.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,First Regular Baptist Church of Northumberland,,"Northumberland Christian School, 351 Fifth Street, Northumberland, PA  17857",(570) 473-9786,jdrees@norrychristian.net,www.norrychristian.net,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,First Tee Greater Philadelphia,,"800 Walnut Lane, Philadelphia, PA  19128",(215) 680-5750,jmcaleese@firstteephila.org,www.firstteephiladelphia.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Fund for Girard College,,"2101 S. College Avenue, Philadelphia, PA  19121",(215) 787-4436,resposito@girardcollege.edu,www.girardcollege.edu/support/fund/,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,George Junior Republic,,"233 George Junior Road, Grove City, PA  16127",(724) 458-9330,tduong@gjr.org,www.GJR.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Goals and Assists Foundation,,"3601 S. Broad Street, Philadelphia, PA  19148",(215) 952-5271,sharan@sniderhockey.org,www.sniderhockey.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Heritage Community Initiatives,,"820 Braddock Avenue, Braddock, PA  15104",(412) 351-0535,lkelley@heritageserves.org,www.heritageserves.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,High Point Classical Academy,,"1919 Mountain Road, Larksville, PA  18651",(570) 592-4203,bakolodgie@highpointclassicalacademy.com,highpointclassicalacademy.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Hill School,,"860 Beech Street, Pottstown, PA  19484",(610) 705-1199,kkoller@thehill.org,www.thehill.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,HMS School for Children with Cerebral Palsy,,"4400 Baltimore Avenue, Philadelphia, PA  19104",(215) 222-2566,Cpimentel@HMSSchool.org,www.hmsschool.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,House of Hope York PA,,"23 N. Pleasant Avenue, Jacobus, PA  17407",(717) 235-3198,lori.ziegler@houseofhopeyork.org,www.houseof hopeyork.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,IFA Foundation,,"7157 Camp Hill Rd., Fort Washington, PA  19034",(484) 919-0282,john@ifa.llc,,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Independence Mission Schools,,"1012 W. Thompson Street, Philadelphia, PA  19122",(215) 771-7038,bfoley@imsphila.org,https://imsphila.org/,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Jewish Community Alliance of Northeastern Pennsylvania,,"613 S.J. Strauss Lane, Kingston, PA  18704",(570) 574-1136,jgillespie@nepajca.org.,www.jewishwilkes-barre.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Joey F. Casey Memorial Foundation,,"8121 Cresco Avenue, Philadelphia, PA  19136",(215) 512-2685,tcrosset@outlook.com,www.joeycasey.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Kimberton Waldorf School,,"410 West Seven Stars Road, Phoenixville, PA  19460",(610) 933-3635,development@kimberton.org,www.kimberton.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Kiskiminetas Springs School,,"1888 Brett Lane, Saltsburg, PA  15681",(724) 639-8047,vickie.fluharty@kiski.org,www.kiski.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Lancaster County Career & Technology Foundation,,"432 Old Market Street, Mt. Joy, PA  17552",(717) 653-3009,jbaker@lancasterctc.edu,www.lcctf.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Linden Hall School for Girls,,"212 E. Main Street, Lititz, PA  17543",(717) 626-8512,business@lindenhall.org,www.lindenhall.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Logos Academy (Harrisburg),,"251 Verbeke Street, Harrisburg, PA  17102",(717) 727-5154,lauren.bonnema@logoshbg.org,www.logosHBG.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Logos Academy Scholarship Organization,,"250 West King Street, York, PA  17401",(717) 848-9835,lisa.knier@logosyork.org,www.logosyork.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Meadowbrook Christian School Scholarship Organization K-12,,"Wesleyan Church Corporation, 363 Stamm Road, Milton, PA  17847",(570) 742-2638,sheri.hoffman@mcslions.org,www.mcslions.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Mercersburg Academy,,"100 Academy Drive, Mercersburg, PA  17236",(717) 328-6359,batsonm@mercersburg.edu,www.mercersburg.edu,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Montessori Academy of Lancaster,,"2750 Weaver Road, Lancaster, PA  17601",(717) 560-0815,carol@montlanc.com,www.montlanc.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Montgomery County Scholarships Inc.,,"101 Greenwood Avenue, Suite 380, Jenkintown, PA  19046",(215) 253-8511,jed.silversmith@pataxcredits.org,www.pataxcredits.org/,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Our Promise Inc.,,"1205 E. Columbia Ave., Philadelphia, PA  19125",(267) 825-3188,sherman.washi@gmail.com,,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Pen Ryn School,,"235 South Olds Boulevard, Fairless Hills, PA  19030",(215) 547-1800,billodcpa@aol.com,www.penryn.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Penn-Mont Academy,,"131 Holliday Hills Drive, Hollidaysburg, PA  16648",(814) 696-8801,kathleen.dombrosky@pennmontacademy.com,www.pennmontacademy.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Perkiomen School,,"200 Seminary Street, Pennsburg, PA  18073",(267) 717-5548,sfarrand@perkiomen.org,www.perkiomen.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Phase 4 Learning Center Inc.,,"5850 Centre Avenue, Pittsburgh, PA  15206",(215) 650-9004,eraphael@phase4lc.org,www.phase4learningcenter.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Philadelphia School of Democracy Inc.,,"4950 Springfield Ave., Philadelphia, PA  19143",(215) 218-9586,mark@phillyfreeschool.org,www.phillyfreeschool.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Solebury School,,"6832 Phillips Mill Road, New Hope, PA  18938",(215) 862-5261,mmarshall@solebury.org,www.solebury.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,St. Stephen's Episcopal School,,"215 N. Front Street, Harrisburg, PA  17101",(717) 238-8590,dshaffer@sseschool.org,www.sseschool.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,State College Friends School,,"1900 University Drive, State College, PA  16801",(814) 237-8386,jlove@scfriends.org,www.scfriends.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Susquehanna Waldorf School,,"15 West Walnut St., Marietta, PA  17547",(717) 649-1344,deborah.duke@susquehanna.org,www.susquehannawaldorf.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Talk Institute and School a/k/a Talk Inc.,,"6 Campus Blvd., Newtown Square, PA  19073",(610) 356-5566,kristen.tabun@talkinc.org,www.talkinc.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The Concept School,,"1120 E. Street Rd., Westtown, PA  19395",(610) 399-1135,slevine@theconceptschool.org,www.theconceptschool.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The School in Rose Valley,,"20 School Lane, Rose Valley, PA  19063",(610) 566-1088,nava@theschoolinrosevalley.org,www.theschoolinrosevalley.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,The Vista School,,"1021 Springboard Drive, Hershey, PA  17033",(717) 583-5102,communications@vistaautismservices.org,www.thevistaschool.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Tom Johnson Boys Academy d/b/a Mon Valley Boys Academy,,"653 S. Agnes Lane, West Mifflin, PA  15122",(412) 599-1458,sheila.rawlings@mytjba.org,mytjba.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Trinity Lutheran Church & School,,"53 West Avenue, Wellsboro, PA  16901",(570) 724-7723,bkohler@trinitylutheranwellsboro.org,www.trinitylutheranwellsboro.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,United Disabilities Services,,"2270 Erin Court, Lancaster, PA  17601",(717) 715-8770,elizabethb@udservices.org,www.udservices.org/school,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Valley School of Ligonier,,"P.O. Box 616, Ligonier, PA  15658",(724) 238-5028,development@valleyschoolofligonier.org,www.valleyschoolofligonier.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Villa Joseph Marie High School,,"1180 Holland Road, Holland, PA  18966",(215) 357-8810,lharkrader@vjmhs.org,www.vjmhs.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Villa Maria Academy Lower School,,"280 IHM Drive, Malvern, PA  19355",(610) 644-4864,pscanlon@villamaria.org,www.villamaria.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Water Street Ministries,,"P.O. Box 7267, Lancaster, PA  17604",(717) 358-2084,mwilcox@wsm.org,www.wsm.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Watson Institute,,"301 Camp Meeting Road, Sewickley, PA  15143",(412) 749-2885,karam@thewatsoninstitute.org,www.thewatsoninstitute.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Western Pennsylvania Montessori School,,"2379 Wyland Ave., Allison Park, PA  15101",(412) 487-2700,director@wpms.edu,www.wpms.edu,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Westtown School,,"975 Westtown Road, West Chester, PA  19382",(610) 399-7922,courtnay.tyus@westtown.edu,www.westtown.edu,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Wyoming Valley Children's Association,,"1133 Wyoming Avenue, Forty Fort, PA  18704",(570) 714-1246,nzanon@wvcakids.org,www.wvcakids.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Wyoming Valley Montessori Association Inc.,,"d/b/a Wyoming Valley Montessori School, 851 West Market Street, Kingston, PA  18704",(570) 288-3708,cdecker@wvms.org,www.wvms.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,Yeshiva Academy of Harrisburg Foundation,,"d/b/a Silver Academy Foundation, 4218 Prosperous Drive, Harrisburg, PA  17112",(717) 574-9121,martinlowy@comcast.net,www.silveracademypa.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,York College of Pennsylvania,,"441 Country Club Road, York, PA  17403",(717) 815-6711,dkey1@ycds.org,www.ycds.org,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
PA,YSC Academy,,"2501 Seaport Drive, Union Power Plant, River Front Suite No. 100, Chester, PA  19013",(610) 722-0500,gokupniarek@strikerpartners.com,www.yscacademy.com,https://dced.pa.gov/wp-content/themes/business2015/csv/eitc_so_list.csv
VA,Autism Envisioned Foundation,,"Vienna, VA 22180",(703) 828-5614,,www.autismenvisioned.com,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Rise Academy,,"Richmond, VA  23223",(804) 236-4964,,https://www.riserichmond.org,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Hargrave Foundation,,"Chatham, VA  24531",(434) 432-2583,,,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Commonwealth Opportunity Scholars,,"Alexandria, VA 22315",(571) 212-0058,,,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,The Hunter School Foundation,,"Henrico, VA 23229",(804) 708-0048,,www.hunterclassicalchristian.org,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,Torah Education Scholarship Foundation,,"Glen Allen, VA 23059",(804) 433-1512,,,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
VA,UP RVA,,"Richmond, VA 23223",(804) 390-3151,,www.uprva.com,https://www.doe.virginia.gov/home/showpublisheddocument/76022/639071974827670000
